name,DFT-per,GCN-per,DFT-all,GCN-all
JIRNEE_FSR_relaxed,-6.572023392,-6.567931652,-591.4821053,-591.1138487
MOSHAF_FSR_relaxed,-6.230372429,-6.227178097,-510.8905392,-510.6286039
HIKDIQ01_FSR_relaxed,-7.010669708,-7.007844448,-743.1309891,-742.8315115
BUTFEC_FSR_relaxed,-6.468482971,-6.468469143,-608.0373993,-608.0360994
FIMDEK_FSR_relaxed,-6.747639179,-6.735576153,-391.3630724,-390.6634169
FIQBOW_FSR_relaxed,-5.914732933,-5.92863369,-473.1786346,-474.2906952
LECYEA_FSR_relaxed,-6.415516376,-6.41126442,-603.0585394,-602.6588554
KEXNIN_FSR_relaxed,-6.118105412,-6.116648197,-464.9760113,-464.865263
WADDAJ_FSR_relaxed,-6.94014883,-6.941473961,-694.014883,-694.1473961
FESVOQ03_FSR_relaxed,-5.897242546,-5.89999485,-790.2305012,-790.5993099
VINTAO_FSR_relaxed,-6.536750317,-6.531237602,-398.7417693,-398.4054937
BIYSAG_FSR_relaxed,-6.710464954,-6.709411621,-832.0976543,-831.967041
SOQCIL_FSR_relaxed,-6.892166615,-6.89157629,-620.2949953,-620.2418661
BINXUS_FSR_relaxed,-5.648543835,-5.647048473,-610.0427341,-609.8812351
ARUCOH01_freeONLY_relaxed,-6.988624096,-6.989029884,-1844.996761,-1845.103889
CEVFAN_FSR_relaxed,-6.866947174,-6.868582726,-1593.131744,-1593.511192
HUBHES_FSR_relaxed,-6.779902458,-6.778742313,-623.7510262,-623.6442928
GAWHAP_FSR_relaxed,-6.020549774,-6.016662121,-746.548172,-746.066103
FAQVOK_FSR_relaxed,-6.182446003,-6.178165913,-191.6558261,-191.5231433
UNULEW_FSR_relaxed,-6.300531387,-6.299805641,-491.4414482,-491.38484
MERFAT_FSR_relaxed,-6.495049,-6.497524738,-571.564312,-571.782177
XOQKEV_FSR_relaxed,-6.874220848,-6.868295193,-481.1954594,-480.7806635
WUDXAV_FSR_relaxed,-6.44152832,-6.439916134,-360.7255859,-360.6353035
FUZYUV_FSR_relaxed,-6.729681492,-6.735214233,-578.7526083,-579.2284241
GIXWUG_FSR_relaxed,-6.648237705,-6.653125763,-545.1554918,-545.5563126
CAJCUL_FSR_relaxed,-5.972270489,-5.970506191,-322.5026064,-322.4073343
GADDOH_FSR_relaxed,-6.252666473,-6.258590698,-725.3093109,-725.996521
ACEKIE_FSR_relaxed,-6.785904408,-6.785028458,-597.1595879,-597.0825043
SOCCUJ_FSR_relaxed,-6.688682556,-6.689341068,-334.4341278,-334.4670534
FURQAL_FSR_relaxed,-6.351568222,-6.350080013,-914.625824,-914.4115219
EFEYIZ_FSR_relaxed,-6.649412155,-6.650625229,-465.4588509,-465.543766
WATGII_FSR_relaxed,-6.820166111,-6.822842598,-1459.515548,-1460.088316
CUTDUS_FSR_relaxed,-6.428998947,-6.429519176,-353.5949421,-353.6235547
SEGDAL_FSR_relaxed,-6.671154976,-6.670226574,-867.2501469,-867.1294546
QATWAL_FSR_relaxed,-6.592282295,-6.594631195,-962.4732151,-962.8161545
YAVQES_FSR_relaxed,-6.370038986,-6.374035358,-891.8054581,-892.3649502
KIYMIQ_FSR_relaxed,-6.554642677,-6.556414127,-1415.802818,-1416.185452
UKAQIH_FSR_relaxed,-6.870225906,-6.87230444,-741.9843979,-742.2088795
CIHMEN_FSR_relaxed,-6.696404934,-6.692244053,-656.2476835,-655.8399172
BUCWIH_FSR_relaxed,-7.010059357,-7.007538319,-799.1467667,-798.8593683
BOSKAX_FSR_relaxed,-6.158873558,-6.161641121,-615.8873558,-616.1641121
IJOHAR_FSR_relaxed,-6.20515871,-6.193313599,-471.592062,-470.6918335
NUCBIY_FSR_relaxed,-6.634230137,-6.630873203,-2919.06126,-2917.584209
SOCHIC_FSR_relaxed,-6.594443798,-6.596597195,-448.4221783,-448.5686092
PYCDBR01_FSR_relaxed,-6.088389874,-6.088186264,-304.4194937,-304.4093132
PEPNOQ_FSR_relaxed,-6.150099277,-6.153338432,-332.105361,-332.2802753
GIJJAL_FSR_relaxed,-6.012754917,-6.012887001,-601.2754917,-601.2887001
CAXYEH_FSR_relaxed,-6.898674488,-6.906892776,-634.6780529,-635.4341354
EBATUY_freeONLY_relaxed,-6.836873531,-6.837021351,-649.5029855,-649.5170283
XUCHOS01_FSR_relaxed,-6.916443348,-6.900379181,-525.6496944,-524.4288177
DEGSUE01_FSR_relaxed,-6.236153603,-6.240612507,-386.6415234,-386.9179754
MOHJID_FSR_relaxed,-6.436203003,-6.438186169,-901.0684204,-901.3460636
OGICOY_FSR_relaxed,-6.690134048,-6.693564415,-682.3936729,-682.7435703
CURBOH_freeONLY_relaxed,-6.605593681,-6.5953269,-2140.212353,-2136.885916
OTIPUE_FSR_relaxed,-6.981624603,-6.984976292,-1466.141167,-1466.845021
HOTDEZ_FSR_relaxed,-6.711984158,-6.707209587,-442.9909544,-442.6758327
EKOYAF_FSR_relaxed,-6.47625351,-6.470795155,-414.4802246,-414.1308899
FAQWIF_FSR_relaxed,-6.310595512,-6.29951334,-328.1509666,-327.5746937
YOFLIP_FSR_relaxed,-6.875687122,-6.882205009,-605.0604668,-605.6340408
LISUCC01_FSR_relaxed,-6.384650707,-6.392739773,-268.1553297,-268.4950705
LABQUB02_FSR_relaxed,-6.790432453,-6.786693096,-502.4920015,-502.2152891
LUVZUX_FSR_relaxed,-6.667786121,-6.66437149,-473.4128146,-473.1703758
OGUVOC_FSR_relaxed,-7.270092964,-7.267931461,-727.0092964,-726.7931461
UWIHAL_FSR_relaxed,-6.284068108,-6.280225754,-477.5891762,-477.2971573
OWAYER_FSR_relaxed,-6.969293118,-6.966370106,-724.8064842,-724.502491
SEWJUB_FSR_relaxed,-5.789425373,-5.79857111,-561.5742612,-562.4613976
OBOROP_FSR_relaxed,-6.73423481,-6.737631798,-1023.603691,-1024.120033
TITTEY_FSR_relaxed,-7.232299328,-7.235367775,-766.6237288,-766.9489841
DIXKUR01_FSR_relaxed,-6.416056633,-6.411094666,-949.5763817,-948.8420105
GOXXIC_FSR_relaxed,-6.716120243,-6.722528458,-899.9601126,-900.8188133
KUDZUF_FSR_relaxed,-6.921405315,-6.926025391,-512.1839933,-512.5258789
OKOSOY_FSR_relaxed,-6.989554882,-6.98984623,-894.6630249,-894.7003174
AHAXOX_FSR_relaxed,-6.758358955,-6.765625,-1013.753843,-1014.84375
BODKUB_FSR_relaxed,-7.069871902,-7.071291447,-551.4500084,-551.5607328
ODEPUL_FSR_relaxed,-6.970727444,-6.984839916,-1359.291852,-1362.043784
LORJIN_FSR_relaxed,-6.622261047,-6.624199867,-913.8720245,-914.1395817
NINHOK_FSR_relaxed,-6.550471783,-6.560588837,-687.7995372,-688.8618279
VOXTIL_FSR_relaxed,-5.445106506,-5.463811874,-402.9378815,-404.3220787
ASUQIO_FSR_relaxed,-6.279559135,-6.283946037,-703.3106232,-703.8019562
SODDEV_FSR_relaxed,-7.624035835,-7.655293465,-343.0816126,-344.4882059
NEPNEB_FSR_relaxed,-7.045818329,-7.04826498,-634.1236496,-634.3438482
EDABAO_FSR_relaxed,-6.402759075,-6.397158623,-384.1655445,-383.8295174
OFITIH_FSR_relaxed,-6.703482151,-6.699272156,-616.7203579,-616.3330383
COKROL_freeONLY_relaxed,-7.204562187,-7.211497784,-1239.184696,-1240.377619
EDOMAM_freeONLY_relaxed,-6.936486721,-6.93859911,-1026.600035,-1026.912668
DOJNAT_FSR_relaxed,-6.447613239,-6.452174187,-606.0756445,-606.5043736
HOGSIG_FSR_relaxed,-6.776199818,-6.769851208,-677.6199818,-676.9851208
BEPDUW_FSR_relaxed,-7.227094173,-7.227056503,-549.2591572,-549.2562943
ANIQOE_FSR_relaxed,-6.666421413,-6.668851852,-519.9808702,-520.1704445
PUQHAL01_FSR_relaxed,-6.521702766,-6.524873257,-1669.555908,-1670.367554
FUNGAY_freeONLY_relaxed,-7.019517899,-7.015674591,-1965.465012,-1964.388885
CECKED_FSR_relaxed,-6.861284256,-6.864637375,-576.3478775,-576.6295395
MILBEO_FSR_relaxed,-6.119241714,-6.121011734,-697.5935555,-697.7953377
ASUQIO03_FSR_relaxed,-6.281518936,-6.283381939,-351.7650604,-351.8693886
HIGRAS_FSR_relaxed,-6.500310898,-6.49832058,-663.0317116,-662.8286991
NARVIM_FSR_relaxed,-6.428164959,-6.427657604,-694.2418156,-694.1870213
JIQQIM_FSR_relaxed,-6.790534973,-6.787613869,-1004.999176,-1004.566853
KOBHER_FSR_relaxed,-6.812480927,-6.809743881,-1171.746719,-1171.275948
OLUNEO_FSR_relaxed,-6.618647575,-6.61658287,-953.0852509,-952.7879333
NEZKUA_FSR_relaxed,-6.707081318,-6.701435566,-2199.922672,-2198.070866
OPOBIF_freeONLY_relaxed,-6.800917625,-6.79590416,-1428.192701,-1427.139874
IZAVOW_FSR_relaxed,-6.36645031,-6.375936508,-1107.762354,-1109.412952
CEJKEK_FSR_relaxed,-6.859877586,-6.856805801,-356.7136345,-356.5539017
UXIFEN_FSR_relaxed,-6.10607481,-6.118877888,-915.9112215,-917.8316832
WUZRIU_FSR_relaxed,-6.095322609,-6.090719223,-396.1959696,-395.8967495
ACUFEL_FSR_relaxed,-6.158993721,-6.156989098,-357.2216358,-357.1053677
OFOHEY_FSR_relaxed,-6.394919395,-6.397255421,-434.8545189,-435.0133686
BEMFIK_FSR_relaxed,-6.11618948,-6.122936726,-636.0837059,-636.7854195
YEDPED_FSR_relaxed,-6.083485126,-6.080099106,-316.3412266,-316.1651535
OWOPUN_FSR_relaxed,-7.00724411,-7.00204277,-581.6012611,-581.1695499
NILLEA_FSR_relaxed,-6.884047508,-6.881934166,-674.6366558,-674.4295483
HEHBAZ01_FSR_relaxed,-7.369371414,-7.369232655,-383.2073135,-383.200098
LACVAO_FSR_relaxed,-5.21645689,-5.207787514,-250.3899307,-249.9738007
YIXZAI_FSR_relaxed,-6.748492718,-6.751591682,-1241.72266,-1242.29287
IVIHIF_FSR_relaxed,-6.840187073,-6.835740089,-752.420578,-751.9314098
NUYWOU_FSR_relaxed,-6.82914257,-6.828036785,-1475.094795,-1474.855946
WUYGON_FSR_relaxed,-6.687127113,-6.686725616,-354.417737,-354.3964577
FIDWEU_FSR_relaxed,-6.453136921,-6.449723244,-903.4391689,-902.9612541
ETEKAQ_FSR_relaxed,-6.618274689,-6.614573956,-688.3005676,-687.9156914
SUYGOJ_FSR_relaxed,-6.75947237,-6.742865086,-621.8714581,-620.3435879
KESHIC_FSR_relaxed,-7.44918108,-7.444550037,-744.918108,-744.4550037
HIGXAY_FSR_relaxed,-7.011320591,-7.003183842,-939.5169592,-938.4266348
QEWMIR_FSR_relaxed,-6.042737961,-6.045998096,-217.5385666,-217.6559315
OPOJUA_FSR_relaxed,-6.660111904,-6.663181305,-486.188169,-486.4122353
MOFFEU_FSR_relaxed,-6.722654343,-6.722882748,-860.4997559,-860.5289917
MASZEO_FSR_relaxed,-6.389121532,-6.389973164,-332.2343197,-332.2786045
AHISUI_FSR_relaxed,-6.925365448,-6.923427582,-1717.490631,-1717.01004
RIFWEJ_FSR_relaxed,-5.719575405,-5.729089737,-549.0792389,-549.9926147
KUBYOW_FSR_relaxed,-6.268244267,-6.266703129,-407.4358773,-407.3357034
RUNGUE_FSR_relaxed,-6.933175564,-6.92547226,-374.3914804,-373.975502
FIDFEG_FSR_relaxed,-6.846474648,-6.846734524,-1711.618662,-1711.683631
UVINIX_FSR_relaxed,-6.837397099,-6.834770679,-355.5446491,-355.4080753
LIFNIY_FSR_relaxed,-6.601990223,-6.597950935,-924.2786312,-923.713131
BUNGUN_FSR_relaxed,-6.634484291,-6.641498089,-364.896636,-365.2823949
BUVZOI_FSR_relaxed,-6.801281929,-6.81056118,-394.4743519,-395.0125484
VUWXUJ06_FSR_relaxed,-6.57672739,-6.578871727,-828.6676512,-828.9378376
QUDKOQ_FSR_relaxed,-6.887956142,-6.897827625,-551.0364914,-551.82621
REMVUC_FSR_relaxed,-6.852233887,-6.851310253,-575.5876465,-575.5100613
IXAJUN_FSR_relaxed,-7.055542946,-7.061648846,-733.7764664,-734.4114799
BAQRIX_FSR_relaxed,-6.818762302,-6.809622288,-927.3516731,-926.1086311
AYAVAZ_FSR_relaxed,-7.220573902,-7.226098537,-404.3521385,-404.6615181
AVONEG_FSR_relaxed,-6.72157383,-6.722835541,-941.0203362,-941.1969757
CISLUN_freeONLY_relaxed,-7.166260242,-7.165673733,-988.9439135,-988.8629751
GOYLUB_FSR_relaxed,-6.778556347,-6.763911724,-379.5991554,-378.7790565
DINQOG_FSR_relaxed,-6.650701046,-6.644404888,-172.9182272,-172.7545271
BEPNOB_FSR_relaxed,-6.343107224,-6.365903378,-1065.642014,-1069.471767
POKSIT_FSR_relaxed,-7.191009045,-7.188474655,-1021.123284,-1020.763401
QUTHET_FSR_relaxed,-6.539972782,-6.53890419,-588.5975504,-588.5013771
EJISOG_FSR_relaxed,-6.49156332,-6.495835304,-1025.667005,-1026.341978
XOSTEF_FSR_relaxed,-5.861399174,-5.869590282,-445.4663372,-446.0888615
NAQBUD_FSR_relaxed,-6.267383099,-6.264527321,-551.5297127,-551.2784042
QOXFOY_FSR_relaxed,-6.133574486,-6.146428585,-343.4801712,-344.2000008
SUSWEJ01_FSR_relaxed,-6.361393452,-6.35857439,-381.6836071,-381.5144634
GITBUI_FSR_relaxed,-7.074837208,-7.071550846,-806.5314417,-806.1567965
JOJJIC01_FSR_relaxed,-7.025169373,-7.02504158,-351.2584686,-351.252079
HEFDIH_freeONLY_relaxed,-6.655394554,-6.66970396,-1976.652183,-1980.902076
XITDEL_FSR_relaxed,-6.07995224,-6.076952457,-437.7565613,-437.5405769
YARSAN_FSR_relaxed,-6.984303474,-6.979820728,-2011.479401,-2010.18837
KAYKUT_FSR_relaxed,-6.726726532,-6.729876995,-1143.54351,-1144.079089
FALLUB_FSR_relaxed,-6.74255228,-6.743435383,-1429.421083,-1429.608301
FAHMUY_FSR_relaxed,-6.814786434,-6.811364174,-735.9969349,-735.6273308
MALQUN_FSR_relaxed,-6.725334644,-6.721463203,-309.3653936,-309.1873074
AVOCAR_FSR_relaxed,-6.814912319,-6.820097923,-477.0438623,-477.4068546
